Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,quebec,2,9,5,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,9,5,Laurie St-Georges,Right,Fourth,,3,50%,1,50%,4,50%,,6,75%,9,83%,15,80%,,9,67%,10,80%,19,74%
2019,quebec,2,9,5,Cynthia St-Georges,Right,Third,,2,75%,2,75%,4,75%,,11,80%,5,75%,16,78%,,13,79%,7,75%,20,78%
2019,quebec,2,9,5,Emily Riley,Right,Second,,1,75%,6,88%,7,86%,,5,95%,8,91%,13,92%,,6,92%,14,89%,20,90%
2019,quebec,2,9,5,Noémie Gauthier,Right,Lead,,8,81%,6,75%,14,79%,,1,100%,5,55%,6,63%,,9,83%,11,66%,20,74%
2019,quebec,2,11,6,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,11,6,Laurie St-Georges,Right,Fourth,,3,67%,6,71%,9,69%,,7,86%,3,58%,10,78%,,10,80%,9,67%,19,74%
2019,quebec,2,11,6,Cynthia St-Georges,Right,Third,,0,0%,3,83%,3,83%,,10,83%,7,86%,17,84%,,10,83%,10,85%,20,84%
2019,quebec,2,11,6,Emily Riley,Right,Second,,2,100%,3,58%,5,75%,,8,84%,7,82%,15,83%,,10,88%,10,75%,20,81%
2019,quebec,2,11,6,Noémie Gauthier,Right,Lead,,6,88%,8,94%,14,91%,,5,70%,1,100%,6,75%,,11,80%,9,94%,20,86%
2019,quebec,2,14,7,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,14,7,Laurie St-Georges,Right,Fourth,,2,88%,5,70%,7,75%,,6,67%,9,69%,15,68%,,8,72%,14,70%,22,70%
2019,quebec,2,14,7,Cynthia St-Georges,Right,Third,,13,85%,4,69%,17,81%,,3,100%,2,88%,5,95%,,16,88%,6,75%,22,84%
2019,quebec,2,14,7,Emily Riley,Right,Second,,8,78%,6,75%,14,77%,,4,50%,4,56%,8,53%,,12,69%,10,68%,22,68%
2019,quebec,2,14,7,Noémie Gauthier,Right,Lead,,9,89%,9,72%,18,81%,,2,50%,2,100%,4,75%,,11,82%,11,77%,22,80%
2019,quebec,2,16,8,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,16,8,Laurie St-Georges,Right,Fourth,,7,82%,3,67%,10,78%,,6,75%,3,67%,9,72%,,13,79%,6,67%,19,75%
2019,quebec,2,16,8,Cynthia St-Georges,Right,Third,,7,82%,4,88%,11,84%,,5,100%,4,63%,9,83%,,12,90%,8,75%,20,84%
2019,quebec,2,16,8,Emily Riley,Right,Second,,8,78%,6,75%,14,77%,,4,75%,2,75%,6,75%,,12,77%,8,75%,20,76%
2019,quebec,2,16,8,Noémie Gauthier,Right,Lead,,10,75%,3,92%,13,79%,,3,83%,4,56%,7,68%,,13,77%,7,71%,20,75%
2019,quebec,2,18,9,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,18,9,Laurie St-Georges,Right,Fourth,,4,94%,3,33%,7,68%,,4,94%,7,89%,11,91%,,8,94%,10,73%,18,82%
2019,quebec,2,18,9,Cynthia St-Georges,Right,Third,,4,81%,2,100%,6,88%,,7,71%,5,50%,12,63%,,11,75%,7,64%,18,71%
2019,quebec,2,18,9,Emily Riley,Right,Second,,5,85%,2,75%,7,82%,,4,63%,7,100%,11,86%,,9,75%,9,94%,18,85%
2019,quebec,2,18,9,Noémie Gauthier,Right,Lead,,13,81%,4,56%,17,75%,,0,0%,1,100%,1,100%,,13,81%,5,65%,18,76%
2019,quebec,2,19,10,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,19,10,Laurie St-Georges,Right,Fourth,,4,81%,5,45%,9,61%,,9,61%,2,38%,11,57%,,13,67%,7,43%,20,59%
2019,quebec,2,19,10,Cynthia St-Georges,Right,Third,,8,69%,5,45%,13,60%,,6,71%,1,100%,7,75%,,14,70%,6,54%,20,65%
2019,quebec,2,19,10,Emily Riley,Right,Second,,6,75%,3,67%,9,72%,,6,71%,4,38%,10,58%,,12,73%,7,50%,19,64%
2019,quebec,2,19,10,Noémie Gauthier,Right,Lead,,11,66%,8,81%,19,72%,,1,0%,0,0%,1,0%,,12,60%,8,81%,20,69%
2019,quebec,2,20,11,Meaghan Rivett,Left,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,quebec,2,20,11,Laurie St-Georges,Right,Fourth,,3,83%,7,71%,10,75%,,2,88%,8,81%,10,83%,,5,85%,15,77%,20,79%
2019,quebec,2,20,11,Cynthia St-Georges,Right,Third,,2,100%,1,100%,3,100%,,9,75%,8,72%,17,74%,,11,80%,9,75%,20,78%
2019,quebec,2,20,11,Emily Riley,Right,Second,,2,88%,5,60%,7,68%,,5,70%,8,84%,13,79%,,7,75%,13,75%,20,75%
2019,quebec,2,20,11,Noémie Gauthier,Right,Lead,,8,88%,8,91%,16,89%,,1,50%,3,67%,4,63%,,9,83%,11,84%,20,84%
2019,saskatchewan,3,2,1,Sara England,Right,Fourth,,3,83%,4,88%,7,86%,,2,100%,9,72%,11,77%,,5,90%,13,77%,18,81%
2019,saskatchewan,3,2,1,Rachel Erickson,Right,Third,,3,67%,3,58%,6,63%,,7,89%,5,85%,12,88%,,10,83%,8,75%,18,79%
2019,saskatchewan,3,2,1,Sarah Hoag,Right,Second,,2,100%,1,50%,3,83%,,10,70%,5,80%,15,73%,,12,75%,6,75%,18,75%
2019,saskatchewan,3,2,1,Jade Goebel,,Lead,,4,88%,9,25%,13,44%,,2,75%,3,83%,5,80%,,6,83%,12,40%,18,54%
2019,saskatchewan,3,3,2,Sara England,Right,Fourth,,1,100%,3,67%,4,75%,,8,81%,6,67%,14,75%,,9,83%,9,67%,18,75%
2019,saskatchewan,3,3,2,Rachel Erickson,Right,Third,,4,75%,1,75%,5,75%,,6,71%,7,75%,13,73%,,10,73%,8,75%,18,74%
2019,saskatchewan,3,3,2,Sarah Hoag,Right,Second,,4,75%,3,50%,7,64%,,5,75%,6,75%,11,75%,,9,75%,9,67%,18,71%
2019,saskatchewan,3,3,2,Jade Goebel,,Lead,,7,82%,4,19%,11,59%,,7,79%,0,0%,7,79%,,14,80%,4,19%,18,67%
2019,saskatchewan,3,6,3,Sara England,Right,Fourth,,6,75%,2,75%,8,75%,,4,100%,3,83%,7,93%,,10,85%,5,80%,15,83%
2019,saskatchewan,3,6,3,Rachel Erickson,Right,Third,,4,69%,0,0%,4,69%,,4,88%,8,72%,12,77%,,8,78%,8,72%,16,75%
2019,saskatchewan,3,6,3,Sarah Hoag,Right,Second,,3,83%,3,58%,6,71%,,4,100%,6,71%,10,83%,,7,93%,9,67%,16,78%
2019,saskatchewan,3,6,3,Jade Goebel,,Lead,,4,88%,10,73%,14,77%,,2,75%,0,0%,2,75%,,6,83%,10,73%,16,77%
2019,saskatchewan,3,8,4,Sara England,Right,Fourth,,6,79%,4,38%,10,63%,,6,92%,4,94%,10,93%,,12,85%,8,66%,20,78%
2019,saskatchewan,3,8,4,Rachel Erickson,Right,Third,,4,88%,3,83%,7,86%,,6,92%,7,82%,13,87%,,10,90%,10,83%,20,86%
2019,saskatchewan,3,8,4,Sarah Hoag,Right,Second,,4,75%,3,92%,7,82%,,8,78%,5,70%,13,75%,,12,77%,8,78%,20,78%
2019,saskatchewan,3,8,4,Jade Goebel,,Lead,,7,64%,1,50%,8,63%,,6,67%,5,70%,11,68%,,13,65%,6,67%,19,66%
2019,saskatchewan,3,9,5,Sara England,Right,Fourth,,7,54%,7,79%,14,66%,,3,67%,3,92%,6,79%,,10,58%,10,83%,20,70%
2019,saskatchewan,3,9,5,Rachel Erickson,Right,Third,,4,81%,8,81%,12,81%,,4,63%,4,69%,8,66%,,8,72%,12,77%,20,75%
2019,saskatchewan,3,9,5,Sarah Hoag,Right,Second,,7,79%,3,75%,10,78%,,6,92%,4,63%,10,80%,,13,85%,7,68%,20,79%
2019,saskatchewan,3,9,5,Jade Goebel,,Lead,,12,83%,6,63%,18,76%,,1,50%,1,50%,2,50%,,13,81%,7,61%,20,74%
2019,saskatchewan,3,11,6,Sara England,Right,Fourth,,4,56%,4,56%,8,56%,,5,80%,5,65%,10,73%,,9,69%,9,61%,18,65%
2019,saskatchewan,3,11,6,Rachel Erickson,Right,Third,,4,88%,2,100%,6,92%,,10,93%,4,94%,14,93%,,14,91%,6,96%,20,93%
2019,saskatchewan,3,11,6,Sarah Hoag,Right,Second,,3,75%,4,56%,7,64%,,7,54%,6,83%,13,67%,,10,60%,10,73%,20,66%
2019,saskatchewan,3,11,6,Jade Goebel,,Lead,,3,83%,10,63%,13,67%,,3,92%,4,44%,7,64%,,6,88%,14,57%,20,66%
2019,saskatchewan,3,15,7,Sara England,Right,Fourth,,3,83%,2,88%,5,85%,,7,82%,3,83%,10,83%,,10,83%,5,85%,15,83%
2019,saskatchewan,3,15,7,Rachel Erickson,Right,Third,,2,88%,3,50%,5,65%,,5,85%,6,83%,11,84%,,7,86%,9,72%,16,78%
2019,saskatchewan,3,15,7,Sarah Hoag,Right,Second,,4,88%,1,0%,5,70%,,7,86%,4,81%,11,84%,,11,86%,5,65%,16,80%
2019,saskatchewan,3,15,7,Jade Goebel,,Lead,,5,65%,4,88%,9,75%,,4,75%,3,100%,7,86%,,9,69%,7,93%,16,80%
2019,saskatchewan,3,16,8,Sara England,Right,Fourth,,7,46%,4,63%,11,52%,,6,79%,2,100%,8,84%,,13,62%,6,75%,19,66%
2019,saskatchewan,3,16,8,Rachel Erickson,Right,Third,,10,70%,4,38%,14,61%,,3,67%,3,83%,6,75%,,13,69%,7,57%,20,65%
2019,saskatchewan,3,16,8,Sarah Hoag,Right,Second,,10,50%,4,50%,14,50%,,2,50%,4,50%,6,50%,,12,50%,8,50%,20,50%
2019,saskatchewan,3,16,8,Jade Goebel,,Lead,,8,84%,8,66%,16,75%,,3,92%,1,100%,4,94%,,11,86%,9,69%,20,79%
2019,saskatchewan,3,17,9,Sara England,Right,Fourth,,3,33%,7,82%,10,68%,,5,80%,5,85%,10,83%,,8,63%,12,83%,20,75%
2019,saskatchewan,3,17,9,Rachel Erickson,Right,Third,,5,90%,2,63%,7,82%,,7,68%,6,63%,13,65%,,12,77%,8,63%,20,71%
2019,saskatchewan,3,17,9,Sarah Hoag,Right,Second,,2,0%,11,73%,13,62%,,4,94%,3,67%,7,82%,,6,63%,14,71%,20,69%
2019,saskatchewan,3,17,9,Jade Goebel,,Lead,,10,75%,5,100%,15,83%,,5,60%,0,0%,5,60%,,15,70%,5,100%,20,78%
2019,saskatchewan,3,19,10,Sara England,Right,Fourth,,5,100%,1,100%,6,100%,,7,71%,5,85%,12,77%,,12,83%,6,88%,18,85%
2019,saskatchewan,3,19,10,Rachel Erickson,Right,Third,,5,75%,1,100%,6,79%,,5,70%,7,61%,12,65%,,10,73%,8,66%,18,69%
2019,saskatchewan,3,19,10,Sarah Hoag,Right,Second,,6,54%,3,58%,9,56%,,6,54%,3,67%,9,58%,,12,54%,6,63%,18,57%
2019,saskatchewan,3,19,10,Jade Goebel,,Lead,,5,80%,8,88%,13,85%,,3,58%,2,50%,5,55%,,8,72%,10,80%,18,76%
2018,alberta,3,2,1,Kayla Skrlik,Right,Fourth,,4,69%,6,100%,10,88%,,2,75%,6,33%,8,44%,,6,71%,12,67%,18,68%
2018,alberta,3,2,1,Ashton Skrlik,Right,Third,,8,53%,7,64%,15,58%,,1,100%,4,69%,5,75%,,9,58%,11,66%,20,63%
2018,alberta,3,2,1,Hope Sunley,Right,Second,,8,69%,7,43%,15,57%,,4,69%,1,50%,5,65%,,12,69%,8,44%,20,59%
2018,alberta,3,2,1,Megan Johnson,Right,Lead,,5,80%,11,82%,16,81%,,1,0%,3,67%,4,50%,,6,67%,14,79%,20,75%
2018,alberta,3,3,2,Kayla Skrlik,Right,Fourth,,4,44%,1,0%,5,35%,,7,79%,7,82%,14,80%,,11,66%,8,72%,19,68%
2018,alberta,3,3,2,Ashton Skrlik,Right,Third,,2,38%,0,0%,2,38%,,10,85%,8,84%,18,85%,,12,77%,8,84%,20,80%
2018,alberta,3,3,2,Hope Sunley,Right,Second,,0,0%,0,0%,0,0%,,7,64%,13,81%,20,75%,,7,64%,13,81%,20,75%
2018,alberta,3,3,2,Megan Johnson,Right,Lead,,8,69%,4,75%,12,71%,,2,88%,6,67%,8,72%,,10,73%,10,70%,20,71%
2018,alberta,3,5,3,Kayla Skrlik,Right,Fourth,,5,100%,5,80%,10,90%,,2,100%,4,100%,6,100%,,7,100%,9,89%,16,94%
2018,alberta,3,5,3,Ashton Skrlik,Right,Third,,4,100%,6,79%,10,88%,,3,100%,3,58%,6,79%,,7,100%,9,72%,16,84%
2018,alberta,3,5,3,Hope Sunley,Right,Second,,3,42%,3,100%,6,71%,,6,88%,4,88%,10,88%,,9,72%,7,93%,16,81%
2018,alberta,3,5,3,Megan Johnson,Right,Lead,,9,81%,2,75%,11,80%,,2,100%,3,67%,5,80%,,11,84%,5,70%,16,80%
2018,alberta,3,7,4,Kayla Skrlik,Right,Fourth,,9,61%,0,0%,9,61%,,6,83%,5,55%,11,70%,,15,70%,5,55%,20,66%
2018,alberta,3,7,4,Ashton Skrlik,Right,Third,,8,91%,1,75%,9,89%,,3,83%,8,84%,11,84%,,11,89%,9,83%,20,86%
2018,alberta,3,7,4,Hope Sunley,Right,Second,,5,95%,4,69%,9,83%,,6,71%,5,70%,11,70%,,11,82%,9,69%,20,76%
2018,alberta,3,7,4,Megan Johnson,Right,Lead,,9,97%,4,100%,13,98%,,3,75%,2,88%,5,80%,,12,92%,6,96%,18,93%
2018,alberta,3,9,5,Kayla Skrlik,Right,Fourth,,1,100%,6,92%,7,93%,,5,60%,6,58%,11,59%,,6,67%,12,75%,18,72%
2018,alberta,3,9,5,Ashton Skrlik,Right,Third,,3,100%,0,0%,3,100%,,6,88%,9,86%,15,87%,,9,92%,9,86%,18,89%
2018,alberta,3,9,5,Hope Sunley,Right,Second,,3,100%,1,50%,4,88%,,6,100%,8,78%,14,88%,,9,100%,9,75%,18,88%
2018,alberta,3,9,5,Megan Johnson,Right,Lead,,8,50%,6,83%,14,64%,,1,0%,2,75%,3,50%,,9,44%,8,81%,17,62%
2018,alberta,3,12,6,Kayla Skrlik,Right,Fourth,,9,61%,5,80%,14,68%,,1,100%,3,67%,4,75%,,10,65%,8,75%,18,69%
2018,alberta,3,12,6,Ashton Skrlik,Right,Third,,10,73%,4,88%,14,77%,,2,88%,2,100%,4,94%,,12,75%,6,92%,18,81%
2018,alberta,3,12,6,Hope Sunley,Right,Second,,3,92%,6,100%,9,97%,,3,92%,6,88%,9,89%,,6,92%,12,94%,18,93%
2018,alberta,3,12,6,Megan Johnson,Right,Lead,,10,95%,6,92%,16,94%,,1,100%,1,100%,2,100%,,11,95%,7,93%,18,94%
2018,alberta,3,15,7,Kayla Skrlik,Right,Fourth,,8,84%,6,71%,14,79%,,5,55%,0,0%,5,55%,,13,73%,6,71%,19,72%
2018,alberta,3,15,7,Ashton Skrlik,Right,Third,,8,75%,6,79%,14,77%,,3,92%,3,100%,6,96%,,11,80%,9,86%,20,83%
2018,alberta,3,15,7,Hope Sunley,Right,Second,,2,100%,7,64%,9,72%,,3,100%,8,69%,11,77%,,5,100%,15,67%,20,75%
2018,alberta,3,15,7,Megan Johnson,Right,Lead,,2,100%,11,89%,13,90%,,2,63%,5,70%,7,68%,,4,81%,16,83%,20,83%
2018,alberta,3,17,8,Kayla Skrlik,Right,Fourth,,2,100%,3,83%,5,90%,,5,100%,6,88%,11,93%,,7,100%,9,86%,16,92%
2018,alberta,3,17,8,Ashton Skrlik,Right,Third,,0,0%,1,100%,1,100%,,7,96%,8,81%,15,88%,,7,96%,9,83%,16,89%
2018,alberta,3,17,8,Hope Sunley,Right,Second,,0,0%,1,100%,1,100%,,6,75%,7,79%,13,77%,,6,75%,8,81%,14,79%
2018,alberta,3,17,8,Megan Johnson,Right,Lead,,4,100%,2,50%,6,83%,,1,50%,5,75%,6,71%,,5,90%,7,68%,12,77%
2018,alberta,3,18,9,Kayla Skrlik,Right,Fourth,,2,100%,4,88%,6,92%,,5,50%,5,90%,10,70%,,7,64%,9,89%,16,78%
2018,alberta,3,18,9,Ashton Skrlik,Right,Third,,0,0%,2,75%,2,75%,,7,86%,7,89%,14,88%,,7,86%,9,86%,16,86%
2018,alberta,3,18,9,Hope Sunley,Right,Second,,0,0%,0,0%,0,0%,,9,75%,7,82%,16,78%,,9,75%,7,82%,16,78%
2018,alberta,3,18,9,Megan Johnson,Right,Lead,,8,81%,6,79%,14,80%,,0,0%,2,75%,2,75%,,8,81%,8,78%,16,80%
2018,alberta,3,19,10,Kayla Skrlik,Right,Fourth,,5,70%,5,70%,10,70%,,4,69%,5,80%,9,75%,,9,69%,10,75%,19,72%
2018,alberta,3,19,10,Ashton Skrlik,Right,Third,,4,75%,5,70%,9,72%,,5,90%,6,83%,11,86%,,9,83%,11,77%,20,80%
2018,alberta,3,19,10,Hope Sunley,Right,Second,,3,75%,6,63%,9,67%,,2,50%,9,72%,11,68%,,5,65%,15,68%,20,68%
2018,alberta,3,19,10,Megan Johnson,Right,Lead,,3,67%,7,93%,10,85%,,5,30%,5,60%,10,45%,,8,44%,12,79%,20,65%
2018,british columbia,5,1,1,Taylor Reese-Hansen,Right,Fourth,,5,65%,5,30%,10,48%,,0,0%,6,58%,6,58%,,5,65%,11,45%,16,52%
2018,british columbia,5,1,1,Catera Park,Right,Third,,4,31%,3,83%,7,54%,,4,69%,5,60%,9,64%,,8,50%,8,69%,16,59%
2018,british columbia,5,1,1,Jordan Koster,Right,Second,,2,38%,3,67%,5,55%,,8,69%,3,50%,11,64%,,10,63%,6,58%,16,61%
2018,british columbia,5,1,1,Sydney Brilz,Left,Lead,,6,75%,7,82%,13,79%,,3,67%,0,0%,3,67%,,9,72%,7,82%,16,77%
2018,british columbia,5,3,2,Taylor Reese-Hansen,Right,Fourth,,5,95%,8,72%,13,81%,,5,60%,2,63%,7,61%,,10,78%,10,70%,20,74%
2018,british columbia,5,3,2,Catera Park,Right,Third,,4,38%,8,47%,12,44%,,4,75%,4,50%,8,63%,,8,56%,12,48%,20,51%
2018,british columbia,5,3,2,Jordan Koster,Right,Second,,6,96%,8,59%,14,75%,,4,50%,2,88%,6,63%,,10,78%,10,65%,20,71%
2018,british columbia,5,3,2,Sydney Brilz,Left,Lead,,11,77%,5,60%,16,72%,,3,50%,1,100%,4,63%,,14,71%,6,67%,20,70%
2018,british columbia,5,5,3,Taylor Reese-Hansen,Right,Fourth,,3,75%,2,75%,5,75%,,6,71%,9,61%,15,65%,,9,72%,11,64%,20,68%
2018,british columbia,5,5,3,Catera Park,Right,Third,,0,0%,4,50%,4,50%,,11,82%,5,45%,16,70%,,11,82%,9,47%,20,66%
2018,british columbia,5,5,3,Jordan Koster,Right,Second,,1,25%,0,0%,1,25%,,9,94%,10,63%,19,78%,,10,88%,10,63%,20,75%
2018,british columbia,5,5,3,Sydney Brilz,Left,Lead,,3,58%,9,83%,12,77%,,4,75%,4,50%,8,63%,,7,68%,13,73%,20,71%
2018,british columbia,5,7,4,Taylor Reese-Hansen,Right,Fourth,,6,83%,6,75%,12,79%,,0,0%,4,56%,4,56%,,6,83%,10,68%,16,73%
2018,british columbia,5,7,4,Catera Park,Right,Third,,0,0%,5,70%,5,70%,,7,79%,4,100%,11,86%,,7,79%,9,83%,16,81%
2018,british columbia,5,7,4,Jordan Koster,Right,Second,,2,88%,2,75%,4,81%,,4,75%,8,78%,12,77%,,6,79%,10,78%,16,78%
2018,british columbia,5,7,4,Sydney Brilz,Left,Lead,,6,75%,7,71%,13,73%,,2,75%,1,100%,3,83%,,8,75%,8,75%,16,75%
2018,british columbia,5,11,5,Taylor Reese-Hansen,Right,Fourth,,6,42%,6,33%,12,38%,,1,100%,5,100%,6,100%,,7,50%,11,64%,18,58%
2018,british columbia,5,11,5,Catera Park,Right,Third,,6,58%,5,40%,11,50%,,4,75%,3,100%,7,86%,,10,65%,8,63%,18,64%
2018,british columbia,5,11,5,Jordan Koster,Right,Second,,5,75%,6,38%,11,55%,,4,94%,3,83%,7,89%,,9,83%,9,53%,18,68%
2018,british columbia,5,11,5,Sydney Brilz,Left,Lead,,8,72%,4,75%,12,73%,,2,50%,4,44%,6,46%,,10,68%,8,59%,18,64%
2018,british columbia,5,12,6,Taylor Reese-Hansen,Right,Fourth,,3,100%,5,50%,8,69%,,5,70%,6,88%,11,80%,,8,81%,11,70%,19,75%
2018,british columbia,5,12,6,Catera Park,Right,Third,,8,75%,5,55%,13,67%,,4,88%,3,83%,7,86%,,12,79%,8,66%,20,74%
2018,british columbia,5,12,6,Jordan Koster,Right,Second,,6,67%,5,85%,11,75%,,3,92%,6,54%,9,67%,,9,75%,11,68%,20,71%
2018,british columbia,5,12,6,Sydney Brilz,Left,Lead,,7,89%,6,92%,13,90%,,3,75%,4,75%,7,75%,,10,85%,10,85%,20,85%
2018,british columbia,5,17,7,Taylor Reese-Hansen,Right,Fourth,,4,88%,6,96%,10,93%,,4,100%,2,50%,6,83%,,8,94%,8,84%,16,89%
2018,british columbia,5,17,7,Catera Park,Right,Third,,2,25%,7,64%,9,56%,,3,100%,4,75%,7,86%,,5,70%,11,68%,16,69%
2018,british columbia,5,17,7,Jordan Koster,Right,Second,,1,100%,3,92%,4,94%,,2,50%,10,98%,12,90%,,3,67%,13,96%,16,91%
2018,british columbia,5,17,7,Sydney Brilz,Left,Lead,,8,81%,5,70%,13,77%,,0,0%,2,100%,2,100%,,8,81%,7,79%,15,80%
2018,british columbia,5,18,8,Taylor Reese-Hansen,Right,Fourth,,4,81%,4,75%,8,78%,,5,60%,6,96%,11,80%,,9,69%,10,88%,19,79%
2018,british columbia,5,18,8,Catera Park,Right,Third,,7,61%,3,42%,10,55%,,6,88%,4,81%,10,85%,,13,73%,7,64%,20,70%
2018,british columbia,5,18,8,Jordan Koster,Right,Second,,5,40%,1,100%,6,50%,,8,91%,6,92%,14,91%,,13,71%,7,93%,20,79%
2018,british columbia,5,18,8,Sydney Brilz,Left,Lead,,8,72%,7,82%,15,77%,,4,69%,0,0%,4,69%,,12,71%,7,82%,19,75%
2018,british columbia,5,20,9,Taylor Reese-Hansen,Right,Fourth,,7,75%,3,75%,10,75%,,8,81%,2,75%,10,80%,,15,78%,5,75%,20,78%
2018,british columbia,5,20,9,Catera Park,Right,Third,,3,33%,1,100%,4,50%,,5,80%,11,61%,16,67%,,8,63%,12,65%,20,64%
2018,british columbia,5,20,9,Jordan Koster,Right,Second,,3,67%,2,100%,5,80%,,10,95%,5,90%,15,93%,,13,88%,7,93%,20,90%
2018,british columbia,5,20,9,Sydney Brilz,Left,Lead,,8,91%,7,75%,15,83%,,2,38%,3,33%,5,35%,,10,80%,10,63%,20,71%
2018,manitoba,5,1,1,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,1,1,Shae Bevan,Right,Fourth,,5,65%,6,100%,11,84%,,1,100%,4,100%,5,100%,,6,71%,10,100%,16,89%
2018,manitoba,5,1,1,Kyla Grabowski,Right,Third,,5,90%,4,88%,9,89%,,3,92%,4,81%,7,86%,,8,91%,8,84%,16,88%
2018,manitoba,5,1,1,Paige Beaudry,Right,Second,,5,95%,2,100%,7,96%,,3,75%,6,83%,9,81%,,8,88%,8,88%,16,88%
2018,manitoba,5,1,1,Jessica Hancox,Left,Lead,,1,75%,12,81%,13,81%,,0,0%,3,83%,3,83%,,1,75%,15,82%,16,81%
2018,manitoba,5,4,2,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,4,2,Shae Bevan,Right,Fourth,,3,100%,6,71%,9,81%,,6,54%,4,88%,10,68%,,9,69%,10,78%,19,74%
2018,manitoba,5,4,2,Kyla Grabowski,Right,Third,,2,63%,3,58%,5,60%,,10,83%,5,90%,15,85%,,12,79%,8,78%,20,79%
2018,manitoba,5,4,2,Paige Beaudry,Right,Second,,1,25%,3,50%,4,44%,,9,78%,7,79%,16,78%,,10,73%,10,70%,20,71%
2018,manitoba,5,4,2,Jessica Hancox,Left,Lead,,6,83%,11,64%,17,71%,,1,50%,2,100%,3,83%,,7,79%,13,69%,20,73%
2018,manitoba,5,5,3,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,5,3,Shae Bevan,Right,Fourth,,7,54%,5,90%,12,69%,,6,79%,2,50%,8,72%,,13,65%,7,79%,20,70%
2018,manitoba,5,5,3,Kyla Grabowski,Right,Third,,4,63%,6,79%,10,73%,,6,58%,4,100%,10,75%,,10,60%,10,88%,20,74%
2018,manitoba,5,5,3,Paige Beaudry,Right,Second,,2,63%,11,64%,13,63%,,1,50%,6,75%,7,71%,,3,58%,17,68%,20,66%
2018,manitoba,5,5,3,Jessica Hancox,Left,Lead,,11,80%,8,50%,19,67%,,0,0%,1,25%,1,25%,,11,80%,9,47%,20,65%
2018,manitoba,5,7,4,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,7,4,Shae Bevan,Right,Fourth,,7,61%,1,0%,8,53%,,7,64%,5,55%,12,60%,,14,63%,6,46%,20,58%
2018,manitoba,5,7,4,Kyla Grabowski,Right,Third,,7,54%,4,94%,11,68%,,2,75%,7,64%,9,67%,,9,58%,11,75%,20,68%
2018,manitoba,5,7,4,Paige Beaudry,Right,Second,,2,75%,6,100%,8,94%,,6,75%,6,63%,12,69%,,8,75%,12,81%,20,79%
2018,manitoba,5,7,4,Jessica Hancox,Left,Lead,,7,82%,11,55%,18,65%,,1,100%,1,100%,2,100%,,8,84%,12,58%,20,69%
2018,manitoba,5,10,5,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,10,5,Shae Bevan,Right,Fourth,,2,50%,6,63%,8,59%,,2,0%,6,96%,8,72%,,4,25%,12,79%,16,66%
2018,manitoba,5,10,5,Kyla Grabowski,Right,Third,,1,75%,9,94%,10,93%,,4,81%,2,100%,6,88%,,5,80%,11,95%,16,91%
2018,manitoba,5,10,5,Paige Beaudry,Right,Second,,5,85%,4,44%,9,67%,,4,75%,3,58%,7,68%,,9,81%,7,50%,16,67%
2018,manitoba,5,10,5,Jessica Hancox,Left,Lead,,9,78%,5,95%,14,84%,,0,0%,2,100%,2,100%,,9,78%,7,96%,16,86%
2018,manitoba,5,11,6,Lauren Beaudry,Right,alternate,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2018,manitoba,5,11,6,Shae Bevan,Right,Fourth,,1,100%,5,75%,6,79%,,6,67%,6,92%,12,79%,,7,71%,11,84%,18,79%
