Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,alberta,1,19,10,Paige Papley,Right,Lead,,4,75%,12,88%,16,84%,,2,75%,0,0%,2,75%,,6,75%,12,88%,18,83%
2019,alberta,1,23,11,Selena Sturmay,Right,Fourth,,7,68%,5,85%,12,75%,,5,60%,2,88%,7,68%,,12,65%,7,86%,19,72%
2019,alberta,1,23,11,Abby Marks,Left,Third,,5,90%,4,69%,9,81%,,7,79%,4,56%,11,70%,,12,83%,8,63%,20,75%
2019,alberta,1,23,11,Kate Goodhelpsen,Right,Second,,6,79%,7,71%,13,75%,,2,100%,5,80%,7,86%,,8,84%,12,75%,20,79%
2019,alberta,1,23,11,Paige Papley,Right,Lead,,7,61%,10,93%,17,79%,,0,0%,3,100%,3,100%,,7,61%,13,94%,20,83%
2019,british columbia,2,2,1,Sarah Nicole Daniels,Right,Fourth,,3,100%,5,95%,8,97%,,7,79%,1,100%,8,81%,,10,85%,6,96%,16,89%
2019,british columbia,2,2,1,Kayla MacMillan,,Third,,4,75%,3,83%,7,79%,,5,90%,4,100%,9,94%,,9,83%,7,93%,16,88%
2019,british columbia,2,2,1,Jessica Humphries,,Second,,0,0%,3,67%,3,67%,,6,92%,7,64%,13,77%,,6,92%,10,65%,16,75%
2019,british columbia,2,2,1,Sarah Loken,Right,Lead,,4,44%,7,82%,11,68%,,4,25%,1,100%,5,40%,,8,34%,8,84%,16,59%
2019,british columbia,2,3,2,Sarah Nicole Daniels,Right,Fourth,,4,69%,7,71%,11,70%,,3,100%,2,100%,5,100%,,7,82%,9,78%,16,80%
2019,british columbia,2,3,2,Kayla MacMillan,,Third,,3,83%,4,56%,7,68%,,2,100%,7,93%,9,94%,,5,90%,11,80%,16,83%
2019,british columbia,2,3,2,Jessica Humphries,,Second,,2,63%,5,90%,7,82%,,5,65%,4,100%,9,81%,,7,64%,9,94%,16,81%
2019,british columbia,2,3,2,Sarah Loken,Right,Lead,,7,61%,6,79%,13,69%,,0,0%,2,63%,2,63%,,7,61%,8,75%,15,68%
2019,british columbia,2,6,3,Sarah Nicole Daniels,Right,Fourth,,1,75%,11,59%,12,60%,,4,88%,4,63%,8,75%,,5,85%,15,60%,20,66%
2019,british columbia,2,6,3,Kayla MacMillan,,Third,,6,67%,9,64%,15,65%,,4,63%,1,50%,5,60%,,10,65%,10,63%,20,64%
2019,british columbia,2,6,3,Jessica Humphries,,Second,,5,90%,8,56%,13,69%,,4,44%,3,67%,7,54%,,9,69%,11,59%,20,64%
2019,british columbia,2,6,3,Sarah Loken,Right,Lead,,7,100%,13,81%,20,88%,,0,0%,0,0%,0,0%,,7,100%,13,81%,20,88%
2019,british columbia,2,7,4,Sarah Nicole Daniels,Right,Fourth,,7,93%,4,56%,11,80%,,1,100%,7,82%,8,84%,,8,94%,11,73%,19,82%
2019,british columbia,2,7,4,Kayla MacMillan,,Third,,3,75%,6,75%,9,75%,,2,50%,9,94%,11,86%,,5,65%,15,87%,20,81%
2019,british columbia,2,7,4,Jessica Humphries,,Second,,0,0%,8,81%,8,81%,,8,78%,4,88%,12,81%,,8,78%,12,83%,20,81%
2019,british columbia,2,7,4,Sarah Loken,Right,Lead,,7,86%,10,80%,17,82%,,1,100%,2,50%,3,67%,,8,88%,12,75%,20,80%
2019,british columbia,2,9,5,Sarah Nicole Daniels,Right,Fourth,,3,100%,7,86%,10,90%,,4,63%,5,65%,9,64%,,7,79%,12,77%,19,78%
2019,british columbia,2,9,5,Kayla MacMillan,,Third,,0,0%,6,83%,6,83%,,8,97%,6,100%,14,98%,,8,97%,12,92%,20,94%
2019,british columbia,2,9,5,Jessica Humphries,,Second,,3,75%,4,81%,7,79%,,2,100%,11,93%,13,94%,,5,85%,15,90%,20,89%
2019,british columbia,2,9,5,Sarah Loken,Right,Lead,,6,100%,7,86%,13,92%,,3,83%,4,81%,7,82%,,9,94%,11,84%,20,89%
2019,british columbia,2,10,6,Sarah Nicole Daniels,Right,Fourth,,2,38%,5,65%,7,57%,,5,100%,8,100%,13,100%,,7,82%,13,87%,20,85%
2019,british columbia,2,10,6,Kayla MacMillan,,Third,,4,100%,4,75%,8,88%,,2,100%,10,93%,12,94%,,6,100%,14,88%,20,91%
2019,british columbia,2,10,6,Jessica Humphries,,Second,,4,81%,10,85%,14,84%,,0,0%,6,83%,6,83%,,4,81%,16,84%,20,84%
2019,british columbia,2,10,6,Sarah Loken,Right,Lead,,7,89%,11,84%,18,86%,,0,0%,2,100%,2,100%,,7,89%,13,87%,20,88%
2019,british columbia,2,14,7,Sarah Nicole Daniels,Right,Fourth,,4,94%,3,0%,7,54%,,2,63%,7,75%,9,72%,,6,83%,10,53%,16,64%
2019,british columbia,2,14,7,Kayla MacMillan,,Third,,1,50%,6,71%,7,68%,,2,50%,7,79%,9,72%,,3,50%,13,75%,16,70%
2019,british columbia,2,14,7,Jessica Humphries,,Second,,3,83%,7,79%,10,80%,,2,75%,4,69%,6,71%,,5,80%,11,75%,16,77%
2019,british columbia,2,14,7,Sarah Loken,Right,Lead,,5,80%,8,81%,13,81%,,1,100%,2,38%,3,58%,,6,83%,10,73%,16,77%
2019,british columbia,2,16,8,Sarah Nicole Daniels,Right,Fourth,,6,38%,3,58%,9,44%,,2,25%,7,82%,9,69%,,8,34%,10,75%,18,57%
2019,british columbia,2,16,8,Kayla MacMillan,,Third,,9,47%,2,88%,11,55%,,4,75%,5,80%,9,78%,,13,56%,7,82%,20,65%
2019,british columbia,2,16,8,Jessica Humphries,,Second,,7,61%,6,71%,13,65%,,4,31%,3,83%,7,54%,,11,50%,9,75%,20,61%
2019,british columbia,2,16,8,Sarah Loken,Right,Lead,,6,88%,13,63%,19,71%,,0,0%,1,100%,1,100%,,6,88%,14,66%,20,73%
2019,british columbia,2,17,9,Sarah Nicole Daniels,Right,Fourth,,5,100%,7,75%,12,85%,,6,63%,2,75%,8,66%,,11,80%,9,75%,20,78%
2019,british columbia,2,17,9,Kayla MacMillan,,Third,,4,44%,4,94%,8,69%,,8,72%,4,69%,12,71%,,12,63%,8,81%,20,70%
2019,british columbia,2,17,9,Jessica Humphries,,Second,,4,75%,6,71%,10,73%,,2,100%,8,69%,10,75%,,6,83%,14,70%,20,74%
2019,british columbia,2,17,9,Sarah Loken,Right,Lead,,9,92%,10,83%,19,87%,,0,0%,1,0%,1,0%,,9,92%,11,75%,20,83%
2019,british columbia,2,19,10,Sarah Nicole Daniels,Right,Fourth,,4,75%,3,50%,7,64%,,6,46%,3,42%,9,44%,,10,58%,6,46%,16,53%
2019,british columbia,2,19,10,Kayla MacMillan,,Third,,2,100%,3,67%,5,80%,,6,79%,5,55%,11,68%,,8,84%,8,59%,16,72%
2019,british columbia,2,19,10,Jessica Humphries,,Second,,6,79%,4,44%,10,65%,,4,75%,2,100%,6,83%,,10,78%,6,63%,16,72%
2019,british columbia,2,19,10,Sarah Loken,Right,Lead,,12,90%,2,75%,14,88%,,0,0%,2,100%,2,100%,,12,90%,4,88%,16,89%
2019,british columbia,2,20,11,Sarah Nicole Daniels,Right,Fourth,,1,100%,8,63%,9,67%,,4,69%,7,93%,11,84%,,5,75%,15,77%,20,76%
2019,british columbia,2,20,11,Kayla MacMillan,,Third,,0,0%,5,65%,5,65%,,7,93%,8,100%,15,97%,,7,93%,13,87%,20,89%
2019,british columbia,2,20,11,Jessica Humphries,,Second,,3,83%,6,71%,9,75%,,4,81%,7,82%,11,82%,,7,82%,13,77%,20,79%
2019,british columbia,2,20,11,Sarah Loken,Right,Lead,,3,83%,12,83%,15,83%,,3,83%,2,88%,5,85%,,6,83%,14,84%,20,84%
2019,british columbia,2,21,12,Sarah Nicole Daniels,Right,Fourth,,2,100%,3,75%,5,85%,,8,72%,7,68%,15,70%,,10,78%,10,70%,20,74%
2019,british columbia,2,21,12,Kayla MacMillan,,Third,,0,0%,1,75%,1,75%,,5,90%,14,89%,19,89%,,5,90%,15,88%,20,89%
2019,british columbia,2,21,12,Jessica Humphries,,Second,,1,0%,6,83%,7,71%,,5,75%,8,97%,13,88%,,6,63%,14,91%,20,83%
2019,british columbia,2,21,12,Sarah Loken,Right,Lead,,7,82%,10,90%,17,87%,,2,100%,1,100%,3,100%,,9,86%,11,91%,20,89%
2019,british columbia,2,23,13,Sarah Nicole Daniels,Right,Fourth,,3,58%,4,69%,7,64%,,5,50%,7,68%,12,60%,,8,53%,11,68%,19,62%
2019,british columbia,2,23,13,Kayla MacMillan,,Third,,5,90%,7,71%,12,79%,,5,80%,3,67%,8,75%,,10,85%,10,70%,20,78%
2019,british columbia,2,23,13,Jessica Humphries,,Second,,4,63%,3,83%,7,71%,,7,75%,6,67%,13,71%,,11,70%,9,72%,20,71%
2019,british columbia,2,23,13,Sarah Loken,Right,Lead,,7,89%,11,91%,18,90%,,1,100%,1,100%,2,100%,,8,91%,12,92%,20,91%
2019,host team,6,3,1,Skylar Ackerman,Right,Fourth,,5,40%,3,42%,8,41%,,7,79%,3,75%,10,78%,,12,63%,6,58%,18,61%
2019,host team,6,3,1,Madison Johnson,Right,Third,,6,58%,9,94%,15,80%,,0,0%,4,75%,4,75%,,6,58%,13,88%,19,79%
2019,host team,6,3,1,Chantel Hoag,Right,Second,,7,64%,8,66%,15,65%,,2,75%,3,67%,5,70%,,9,67%,11,66%,20,66%
2019,host team,6,3,1,Samantha McLaren,Right,Lead,,4,50%,13,60%,17,57%,,1,75%,2,75%,3,75%,,5,55%,15,62%,20,60%
2019,host team,6,4,2,Skylar Ackerman,Right,Fourth,,4,44%,4,50%,8,47%,,5,75%,5,50%,10,63%,,9,61%,9,50%,18,56%
2019,host team,6,4,2,Madison Johnson,Right,Third,,4,81%,0,0%,4,81%,,10,95%,4,63%,14,86%,,14,91%,4,63%,18,85%
2019,host team,6,4,2,Chantel Hoag,Right,Second,,8,78%,1,75%,9,78%,,3,100%,6,75%,9,83%,,11,84%,7,75%,18,81%
2019,host team,6,4,2,Samantha McLaren,Right,Lead,,7,89%,4,88%,11,89%,,5,80%,2,50%,7,71%,,12,85%,6,75%,18,82%
2019,host team,6,6,3,Skylar Ackerman,Right,Fourth,,4,94%,5,75%,9,83%,,7,43%,4,69%,11,52%,,11,61%,9,72%,20,66%
2019,host team,6,6,3,Madison Johnson,Right,Third,,8,91%,4,69%,12,83%,,3,83%,5,55%,8,66%,,11,89%,9,61%,20,76%
2019,host team,6,6,3,Chantel Hoag,Right,Second,,10,65%,5,85%,15,72%,,1,100%,4,81%,5,85%,,11,68%,9,83%,20,75%
